Draw(ms),Process(ms),Execute(ms),总时间<16ms
11.03,20.72,8.43,40.18
6.22,9.58,2.91,18.71
我是,分,割,线
15.26,15.50,1.74,32.50
1.58,3.08,1.32,5.98
我是,分,割,线
2.64,4.80,1.80,9.24
我是,分,割,线
